,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,incident_district,incident_division,precip,visibility,heatindex,season,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,school,college,crime
118,5,18,monday,0,night,dhaka,dhaka,17.2,9,36,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
119,4,15,riday,1,morning,dhaka,dhaka,2.6,10,35,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
120,1,4,sunday,0,morning,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
121,12,52,monday,0,morning,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
122,1,2,wednesday,0,morning,dhaka,dhaka,0.0,10,22,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
123,5,19,wednesday,0,afternoon,dhaka,dhaka,11.3,9,39,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
124,7,29,wednesday,0,night,dhaka,dhaka,5.1,9,34,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
125,7,27,saturday,1,evening,dhaka,dhaka,1.4,10,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
126,9,36,saturday,1,night,dhaka,dhaka,1.5,10,35,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
127,4,15,monday,0,noon,dhaka,dhaka,0.5,9,35,hot,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
128,2,7,saturday,1,night,dhaka,dhaka,0.0,10,25,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
129,5,20,tuesday,0,night,dhaka,dhaka,5.9,9,36,hot,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
130,9,37,sunday,0,night,dhaka,dhaka,9.2,9,36,rainy,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
131,8,34,monday,0,evening,dhaka,dhaka,3.1,10,38,rainy,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
132,2,6,monday,0,,dhaka,dhaka,,10,26,,738764,647146,1385910,114,3.77,4948,,1118,78,3,6,42,10,murder
133,4,15,sunday,0,night,dhaka,dhaka,0.2,10,37,hot,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
134,9,38,tuesday,0,night,dhaka,dhaka,0.0,10,41,rainy,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
135,1,3,thursday,0,night,dhaka,dhaka,0.0,10,24,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
136,12,52,thursday,0,night,dhaka,dhaka,0.0,10,20,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
137,7,30,wednesday,0,night,dhaka,dhaka,15.7,9,36,rainy,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
138,2,6,thursday,0,night,dhaka,dhaka,0.0,10,25,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
139,2,7,wednesday,0,night,dhaka,dhaka,0.0,10,25,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
140,7,30,wednesday,0,night,dhaka,dhaka,15.7,9,36,rainy,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
141,3,12,thursday,0,night,dhaka,dhaka,0.0,10,31,hot,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
142,8,34,tuesday,0,afternoon,dhaka,dhaka,6.0,10,37,rainy,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
143,1,2,sunday,0,night,dhaka,dhaka,0.0,10,20,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
144,4,17,monday,0,night,dhaka,dhaka,22.1,8,35,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
145,9,36,friday,1,night,dhaka,dhaka,6.1,9,37,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
146,3,9,thursday,0,night,dhaka,dhaka,0.0,10,28,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
147,7,26,saturday,1,night,dhaka,dhaka,12.7,9,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
148,8,35,monday,0,night,dhaka,dhaka,6.2,9,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
149,8,35,thursay,0,evening,dhaka,dhaka,5.5,9,37,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
150,6,26,friday,1,night,dhaka,dhaka,16.6,9,36,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
151,5,19,monday,0,night,dhaka,dhaka,1.1,10,38,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
152,1,3,wednesday,0,noon,dhaka,dhaka,0.0,10,23,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
153,12,52,wednesday,0,morning,dhaka,dhaka,0.0,10,22,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
154,12,52,wednesday,0,morning,dhaka,dhaka,0.0,10,22,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
155,5,19,sunday,0,night,dhaka,dhaka,5.1,9,39,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
156,5,20,tuesday,0,night,dhaka,dhaka,,9,38,,4931802,3974237,8906039,125,8.42,30551,,4289,99,17,60,242,64,murder
157,1,52,sunday,0,night,dhaka,dhaka,,10,26,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
158,4,16,monday,0,night,dhaka,dhaka,2.1,10,35,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
159,5,19,friday,1,night,dhaka,dhaka,2.3,10,40,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
160,7,30,wednesday,0,morning,dhaka,dhaka,12.5,9,35,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
